ISIN,Year,TotalAssets,CurrentAssets,Inventory,CurrentLiabilities,Equity,LongTermDebt,ShortTermDebt,NetIncome,TotalDebt,ROA,ROE,DebtToEquity,DebtToAssets,CurrentRatio,QuickRatio,LogTotalAssets,FirmAge,Sector,SectorSection,ESG_Score
GB0000055888,2021,592700.0,266200.0,77800.0,190300.0,290400.0,84000.0,71400.0,25200.0,155400.0,0.04251729374050953,0.08677685950413223,0.5351239669421488,0.2621899780664754,1.3988439306358382,0.9900157645822386,13.29244364777593,35.0,26,C,37.4374969272694
GB0000055888,2022,585700.0,249800.0,90000.0,151200.0,303600.0,101500.0,39900.0,21300.0,141400.0,0.03636674065221103,0.07015810276679842,0.4657444005270092,0.24142052245176712,1.652116402116402,1.056878306878307,13.280562992077874,36.0,26,C,42.5845845708714
GB0000055888,2023,668700.0,287700.0,80100.0,185400.0,301600.0,150500.0,78700.0,15500.0,229200.0,0.023179303125467326,0.05139257294429708,0.7599469496021221,0.3427545984746523,1.551779935275081,1.1197411003236246,13.41309080804207,37.0,26,C,42.3285282245177
GB0000904986,2019,3889857.0,3806682.0,3477583.0,869269.0,2921174.0,11923.0,0.0,538554.0,11923.0,0.13845084793605522,0.18436217767240157,0.004081578160013748,0.0030651512382074714,4.379176066326994,0.3785928176433302,15.17388295399348,41.0,41,F,55.5838043079465
GB0000904986,2020,4083600.0,3984300.0,3863000.0,955800.0,2994000.0,14100.0,50000.0,192900.0,64100.0,0.04723773141345871,0.06442885771543086,0.021409485637942552,0.01569693407777451,4.1685499058380415,0.25726854485909956,15.222489510276997,42.0,41,F,59.2606692675752
GB0000904986,2021,4676800.0,4574700.0,4032200.0,1072100.0,3287800.0,144300.0,0.0,390700.0,144300.0,0.08354002736914129,0.11883326236389075,0.043889530993369424,0.030854430379746837,4.26704598451637,0.5060162298293069,15.358124673339118,43.0,41,F,59.5474102498806
GB0000904986,2022,4985100.0,4913500.0,4423600.0,971000.0,3367800.0,144300.0,0.0,242600.0,144300.0,0.04866502176485928,0.07203515648197636,0.0428469624086941,0.02894625985436601,5.0602471678681775,0.5045314109165808,15.421964021357415,44.0,41,F,52.5479945152827
GB0000904986,2023,5114100.0,5034700.0,4575600.0,1005500.0,3461600.0,141900.0,0.0,365000.0,141900.0,0.07137130677929646,0.10544256990986826,0.04099260457591865,0.027746817621868952,5.007160616608652,0.45658876181004476,15.447511988807126,45.0,41,F,53.4438605302227
GB0000961622,2019,4841000.0,2197000.0,101000.0,2353000.0,1377000.0,607000.0,39000.0,130000.0,646000.0,0.026853955794257384,0.0944081336238199,0.4691358024691358,0.1334435034083867,0.9337016574585635,0.890777730556736,15.392631868921832,74.0,42,F,75.8221961129781
GB0000961622,2020,4685000.0,2038000.0,114000.0,2198000.0,1345000.0,600000.0,6000.0,30000.0,606000.0,0.0064034151547491995,0.022304832713754646,0.45055762081784384,0.12934898612593382,0.9272065514103731,0.8753412192902639,15.35987647365466,75.0,42,F,76.7055409652876
GB0000961622,2021,4846000.0,2223000.0,104000.0,2399000.0,1376000.0,532000.0,39000.0,140000.0,571000.0,0.028889806025588115,0.10174418604651163,0.41497093023255816,0.11782913743293438,0.9266360983743226,0.8832847019591497,15.393664180358607,76.0,42,F,73.4028135802669
GB0000961622,2022,5123000.0,2481000.0,114000.0,2722000.0,1383000.0,486000.0,203000.0,288000.0,689000.0,0.056217060316220965,0.20824295010845986,0.4981923355025307,0.13449150888151473,0.911462160176341,0.869581190301249,15.44925076292134,77.0,42,F,77.2543407684666
GB0000961622,2023,5265000.0,2749000.0,124000.0,2719000.0,1208000.0,816000.0,113000.0,197000.0,929000.0,0.03741690408357075,0.1630794701986755,0.7690397350993378,0.17644824311490978,1.0110334681868334,0.965428466347922,15.476591703550213,78.0,42,F,74.1345359982937
GB0001638955,2019,1521839.0,88570.0,23717.0,326671.0,316812.0,776683.0,0.0,72777.0,776683.0,0.04782174724133105,0.2297166773985834,2.451558021792104,0.5103581916352519,0.3003992707242396,0.25726854485909956,14.235430029942506,36.0,56,I,53.1669480747665
GB0001638955,2020,2248670.0,241771.0,23095.0,331076.0,317248.0,1491631.0,7610.0,-97561.0,1499241.0,-0.0433860904445739,-0.3075228212628606,4.7257697448053255,0.6667234409673274,0.730258309270379,0.6605009121772645,14.625849488294442,37.0,56,I,55.1660700307537
GB0001638955,2021,2009658.0,91513.0,26853.0,335624.0,277977.0,1341868.0,7610.0,-177006.0,1349478.0,-0.08807767291748148,-0.6367649122049666,4.85463905287128,0.67149634415408,0.3003992707242396,0.25726854485909956,14.5134751163045,38.0,56,I,62.471324272671
GB0001638955,2022,1960242.0,101261.0,32483.0,313409.0,384393.0,1195825.0,4324.0,36915.0,1200149.0,0.018831858515428197,0.096034527163606,3.122192651791266,0.6122453248119365,0.32309538015819583,0.25726854485909956,14.488578492972737,39.0,56,I,56.3430838531209
GB0001638955,2023,1979904.0,159110.0,34558.0,387257.0,413058.0,1119437.0,4200.0,59587.0,1123637.0,0.030095903639772433,0.14425819134358855,2.7202886761665432,0.5675209505107318,0.41086410316663097,0.3216262068858665,14.498558916646806,40.0,56,I,54.7098395715354
GB0001859296,2019,1795188.0,1675003.0,475450.0,383596.0,1271966.0,16686.0,0.0,138379.0,16686.0,0.0770832915549792,0.10879142995960583,0.013118275174021947,0.009294848227595104,4.366580986245946,3.127125934577003,14.400620309796194,84.0,41,F,52.1979309252617
GB0001859296,2020,3632194.0,2416881.0,733314.0,966422.0,2195082.0,279951.0,50000.0,76813.0,329951.0,0.021147824152564536,0.034993225765597824,0.15031374682130325,0.0908406874742924,2.5008546990859064,1.7420619563710262,15.105347431373755,85.0,41,F,58.1501283177217
GB0001859296,2021,3843249.0,2602289.0,806136.0,988904.0,2390581.0,183096.0,0.0,254125.0,183096.0,0.06612243963375779,0.10630261011862807,0.07659058613784682,0.04764094129732422,2.63148799074531,1.8163067395824064,15.161828660578363,86.0,41,F,56.0034766822904
GB0001859296,2022,6015700.0,4067400.0,2838100.0,1570300.0,3249700.0,580500.0,49900.0,204300.0,630400.0,0.03396113503000482,0.06286734160076314,0.19398713727420994,0.1047924597303722,2.590205693179647,0.7828440425396421,15.609883276347135,87.0,41,F,55.462436725902
GB0001859296,2023,6070800.0,4134000.0,3080200.0,1611500.0,3303900.0,580800.0,0.0,215000.0,580800.0,0.0354154312446465,0.06507460879566573,0.17579224552801234,0.09567108124135204,2.5653118212845176,0.653924914675768,15.619000950068028,88.0,41,F,52.2609087305623
GB0002018363,2019,619400.0,269500.0,1100.0,170600.0,380600.0,53800.0,1200.0,-12800.0,55000.0,-0.020665159832095575,-0.033631108775617445,0.14450867052023122,0.08879560865353568,1.5797186400937866,1.5732708089097303,13.336506546521239,45.0,52,H,38.7166228299953
GB0002018363,2020,572700.0,282600.0,1300.0,177400.0,328400.0,47800.0,0.0,-28900.0,47800.0,-0.050462720447005414,-0.08800243605359317,0.14555420219244825,0.08346429195041034,1.593010146561443,1.5856820744081173,13.258117298381949,46.0,52,H,37.9135986603031
GB0002018363,2021,682100.0,391800.0,1500.0,257300.0,361600.0,44100.0,0.0,50100.0,44100.0,0.07344964081512975,0.1385508849557522,0.12195796460176991,0.06465327664565312,1.5227361057131752,1.5169063350174894,13.432931553642812,47.0,52,H,46.7843098624187
GB0002018363,2022,832300.0,543400.0,2400.0,366200.0,413200.0,37700.0,0.0,75600.0,37700.0,0.09083263246425567,0.1829622458857696,0.09123910939012585,0.04529616724738676,1.4838885854724195,1.4773347897323867,13.631948231734187,48.0,52,H,40.9398043416545
GB0002018363,2023,875600.0,591000.0,3300.0,371300.0,456600.0,32800.0,0.0,83800.0,32800.0,0.09570580173595249,0.1835304424003504,0.0718353044240035,0.03746002740977615,1.5917048208995421,1.5828171290061945,13.682664644630846,49.0,52,H,44.789669505746
GB0002074580,2019,803600.0,209200.0,36000.0,104200.0,487100.0,105800.0,2100.0,7800.0,107900.0,0.009706321553011448,0.016013138985834532,0.22151508930404434,0.13427078148332502,2.0076775431861806,1.6621880998080614,13.596856911922917,25.0,72,M,47.8484319527634
GB0002074580,2020,855400.0,223800.0,37400.0,130200.0,494500.0,124700.0,9200.0,35300.0,133900.0,0.04126724339490297,0.07138523761375126,0.27077856420626895,0.15653495440729484,1.7188940092165899,1.4316436251920124,13.659324474774944,26.0,72,M,48.2138025948365
GB0002074580,2021,851000.0,231700.0,37000.0,142500.0,496600.0,128700.0,13900.0,47300.0,142600.0,0.055581668625146886,0.09524768425291985,0.28715263793797824,0.16756756756756758,1.6259649122807018,1.3663157894736842,13.65416740755551,27.0,72,M,49.3475352437135
GB0002074580,2022,1017900.0,257500.0,50900.0,151300.0,572100.0,206600.0,7100.0,40900.0,213700.0,0.040180764318695356,0.07149099807725923,0.3735360950882713,0.20994203752824442,1.7019167217448776,1.365499008592201,13.833252239440432,28.0,72,M,62.1514863081986
GB0002074580,2023,1007500.0,259000.0,61300.0,147200.0,567200.0,217900.0,4200.0,33300.0,222100.0,0.03305210918114144,0.05870944992947814,0.39157263751763044,0.22044665012406947,1.7595108695652173,1.343070652173913,13.822982572802974,29.0,72,M,56.4173004154139
GB0002318888,2019,995500.0,354700.0,75500.0,213800.0,614500.0,158100.0,0.0,82700.0,158100.0,0.08307383224510297,0.13458096013018714,0.25728234336859235,0.15881466599698643,1.6590271281571563,1.3058933582787653,13.811000402486387,47.0,10,C,51.4041484756041
GB0002318888,2020,1041900.0,384500.0,81800.0,232200.0,686100.0,118900.0,0.0,92500.0,118900.0,0.08878011325463096,0.13481999708497303,0.17329835300976534,0.11411843747000672,1.6559000861326443,1.3036175710594315,13.856556527400276,48.0,10,C,64.7349077108302
GB0002318888,2021,1143100.0,400500.0,105200.0,259800.0,768900.0,92400.0,0.0,103500.0,92400.0,0.09054325955734406,0.13460788138899726,0.12017167381974249,0.08083282302510716,1.5415704387990763,1.136643571978445,13.94925442801387,49.0,10,C,65.2004111854875
GB0002318888,2022,1264800.0,494700.0,113000.0,288100.0,842900.0,107300.0,0.0,111400.0,107300.0,0.08807716635041113,0.13216277138450588,0.12729861193498634,0.08483554712207464,1.717112113849358,1.3248871919472405,14.0504245648774,50.0,10,C,68.3108726353432
GB0002318888,2023,1384000.0,551700.0,113700.0,331400.0,911500.0,109200.0,0.0,113100.0,109200.0,0.08171965317919075,0.12408118486012068,0.11980252331321997,0.07890173410404624,1.664755582377791,1.3216656608328303,14.140488415159751,51.0,10,C,71.8506679645691
GB0002418548,2019,1451968.14219752,299584.650796685,128567.617881966,133749.952212715,690622.260371294,450100.978785353,1676.63757759529,35361.8107274642,451777.6163629483,0.024354398488347632,0.051202824983447394,0.6541602295299062,0.311148435859752,2.239886039886038,1.278632478632476,14.188430533490862,22.0,20,C,58.0779002823048
