ISIN,Year,TotalAssets,CurrentAssets,Inventory,CurrentLiabilities,Equity,LongTermDebt,ShortTermDebt,NetIncome,TotalDebt,ROA,ROE,DebtToEquity,DebtToAssets,CurrentRatio,QuickRatio,LogTotalAssets,FirmAge,Sector,SectorSection,ESG_Score
XX000000000,2023,1043537.0,573107.0,185757.0,102320.0,896658.0,5624.0,4694.0,116102.0,10318.0,0.1112581537597612,0.1294830358955142,0.0115071744187862,0.0098875267479734,5.556134870992963,3.785672400312744,13.85812646246542,50.0,26,C,50.0721312327414
XX000000001,2023,2106779.0,524887.0,54537.0,409281.0,994595.0,644984.0,14079.0,139238.0,659063.0,0.0660904632142241,0.1399946711978242,0.6626445940307362,0.3128296798097949,1.2824611941428994,1.1492104446578268,14.560670798818132,,77,N,36.7575453002581
XX000000002,2020,1956400.0,1054300.0,0.0,920200.0,581600.0,407400.0,221300.0,67600.0,628700.0,0.0345532610918012,0.1162310866574965,1.0809834938101788,0.321355551012063,1.1457291893066726,1.1457291893066726,14.486616607647338,33.0,70,M,52.831833506947
XX000000003,2023,1904000.0,1397100.0,0.0,1059600.0,670300.0,158500.0,0.0,138300.0,158500.0,0.0726365546218487,0.2063255258839325,0.2364612859913471,0.0832457983193277,1.3185164212910532,1.3185164212910532,14.459467494333447,36.0,78,N,57.1329589771968
XX000000004,2022,2334300.0,992500.0,316000.0,530200.0,1319600.0,327200.0,114700.0,181100.0,441900.0,0.0775821445401191,0.1372385571385268,0.3348742043043346,0.1893072869811078,1.8719351188230855,1.275933609958506,14.663222618273132,10.0,24,C,67.0021089301131
